modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Justa;100;4;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;0,187;13,01;0,1323
Armadillo;Justa;100;5;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;0,183;13,00;0,1323
Armadillo;Justa;100;6;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;0,185;13,00;0,1323
Armadillo;Justa;100;7;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;0,189;14,00;0,1323
Armadillo;Justa;100;8;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;1,239;13,00;0,1323
Armadillo;Justa;100;9;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;0,189;13,00;0,1323
Armadillo;Justa;100;10;1,5132;85;101;77;661045;21934;639111;0,0332;0,219;-1,69;87449;17285;59233;7;0,181;13,02;0,1323
Armadillo;Cubica;100;1;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,118;6,04;0,0794
Armadillo;Cubica;100;2;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,116;8,82;0,0794
Armadillo;Cubica;100;3;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,119;9,76;0,0794
Armadillo;Cubica;100;4;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,578;9,76;0,0794
Armadillo;Cubica;100;5;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,237;10,74;0,0794
Armadillo;Cubica;100;6;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,119;10,74;0,0794
Armadillo;Cubica;100;7;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,118;10,74;0,0794
Armadillo;Cubica;100;8;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,122;10,74;0,0794
Armadillo;Cubica;100;9;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,144;10,74;0,0794
Armadillo;Cubica;100;10;1,5132;100;100;100;1000000;21902;978098;0,0219;0,219;-1,69;79361;18697;50744;7;0,162;10,74;0,0794
Armadillo;Justa;200;1;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;1,043;75,88;0,0691
Armadillo;Justa;200;2;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;4,135;71,26;0,0691
